No.,Year,Paper,Year_R,Paper_Ref
1,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2022,BPMN-Redrawer: From Images to BPMN Models
2,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2021,DocFormer: End-to-End Transformer for Document Understanding
3,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2011,First Experiments on a new Online Handwritten Flowchart Database
4,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2021,The evolution of software design practices over a decade: A long term study of practitioners
5,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2018,Text and non-text separation in offline document images: A survey
6,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2014,Recognition System for On-line Sketched Diagrams
7,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2013,Modeling Flowchart Structure Recognition as a Max-Sum Problem
8,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2015,Detection of Arrows in On-line Sketched Diagrams using Relative Stroke Positioning
9,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2016,Recognizing Off-Line Flowcharts by Reconstructing Strokes and Using On-Line Recognition Techniques
10,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2013,Simultaneous segmentation and recognition of graphical symbols using a composite descriptor
11,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2016,Online recognition of sketched arrow-connected diagrams
12,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2018,Albumentations: Fast and flexible image augmentations
13,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2020,End-to-End Object Detection with Transformers
