Rank,No.,Paper,Probability
1,83,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,0.003173
2,171,Electronic schematic recognition,0.002498
3,91,Fast R-CNN,0.002453
4,72,Segmentation and Recognition of Electronic Components in Hand-Drawn Circuit Diagrams,0.001780
5,70,Symbol Detection in Online Handwritten Graphics Using Faster R-CNN,0.000954
6,144,Interactive Recognition of Hand-drawn Circuit Diagrams. Master's thesis. University of Stellenbosch,0.000877
7,48,Automatic Digitization of Engineering Diagrams using Deep Learning and Graph Search,0.000805
8,131,Graphic Symbol Recognition using Auto Associative Neural Network Model,0.000758
9,69,Handwritten Electronic Components Recognition: An Approach Based On HOG + SVM,0.000757
10,55,GCN-RL Circuit Designer: Transferable Transistor Sizing with Graph Neural Networks and Reinforcement Learning,0.000603
11,133,VizDraw: A Platform to Convert Online Hand-Drawn Graphics into Computer Graphics,0.000515
12,77,Mask R-CNN,0.000494
13,88,The Detection of Electrical and Electronics Components using K nearest Neighbor (KNN) classification Algorithm,0.000467
14,20,A two-stage CNN-based hand-drawn electrical and electronic circuit component recognition system,0.000467
15,139,Applying Domain Knowledge to the Recognition of Handwritten ZIP Codes. Master's Thesis. Indiana University South Bend,0.000448
16,97,On-line Handwritten Flowchart Recognition Based on Logical Structure and Graph Grammar,0.000419
17,130,Combining Representations for Improved Sketch Recognition. Ph.D. Thesis. MIT,0.000402
18,22,Deep learning-based method to recognize line objects and flow arrows from image-format piping and instrumentation diagrams for digitization,0.000382
19,21,Arrow R-CNN for handwritten diagram recognition,0.000363
20,52,Deep learning for symbols detection and classification in engineering drawings,0.000361
21,19,Detection of circuit components on hand-drawn circuit images by using Faster R-CNN method,0.000360
22,50,Graph-Based Locality-Sensitive Circuit Sketch Recognizer,0.000347
23,124,Recognition of on-line Hand-drawn Graphical Symbols Based on BP Neural Network,0.000347
24,33,GNN-RE: Graph neural networks for reverse engineering of gate-level netlists,0.000309
25,42,Understanding Graphs in EDA: From Shallow to Deep Learning,0.000309
26,0,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,0.000297
27,1,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,0.000297
28,2,ElectroNet: An Enhanced Model for Small-Scale Object Detection in Electrical Schematic Diagrams,0.000297
29,3,A Symbol Recognition System for Single-Line Diagrams Developed Using a Deep-Learning Approach,0.000297
30,4,Hand-Drawn Electronic Component Recognition Using ORB,0.000297
31,5,Using YOLO Network for Automatic Processing of Finite Automata Images with Application to Bit-Strings Recognition,0.000297
32,6,Hand Drawn Graph Recognition,0.000297
33,7,Instance Segmentation Based Graph Extraction for Handwritten Circuit Diagram Images,0.000297
34,8,Optical character recognition on engineering drawings to achieve automation in production quality control,0.000297
35,9,Img2Sim-V2: A CAD Tool for User-Independent Simulation of Circuits in Image Format,0.000297
36,10,Digitization of chemical process flow diagrams using deep convolutional neural networks,0.000297
37,11,A Comprehensive Survey on Electronic Design Automation and Graph Neural Networks: Theory and Applications,0.000297
38,12,CKTGNN: Circuit Graph Neural Network for Electronic Design Automation,0.000297
39,13,From Image to Simulation: An ANN-based Automatic Circuit Netlist Generator (Img2Sim),0.000297
40,14,Image Processing for Recognition of Digital Elements in HDL Code Generation,0.000297
41,15,Generation of Netlist from a Hand drawn Circuit through Image Processing and Machine Learning,0.000297
42,16,Handwritten Logic Circuits Analysis Using the YOLO Network and a New Boundary Tracking Algorithm,0.000297
43,17,Towards automatic generation of piping and instrumentation diagrams (P&IDs) with artificial intelligence,0.000297
44,18,Smartphone Handwritten Circuits Solver Using Augmented Reality and Capsule Deep Networks for Engineering Education,0.000297
